ID;share_of_households_with_air_conditioning;homeownership_rate;average_household_age;share_of_population_under_4_years_old;share_of_population_over_64_years_old;unemployment_rate;share_of_superior_edu;percentage_overcrowded_households;building_state_of_conservation_index;main_heating_energy_source_share_of_electricity;main_heating_energy_source_share_of_wood_coal_and_other_solid_fuels;main_heating_energy_source_share_of_petroleum_diesel_and_other_liquid_fuels;main_heating_energy_source_share_of_gas;main_heating_energy_source_share_of_other
181516;0,029090909;0,898181818;1974,430108;0,030172414;0,340517241;0,094420601;0,021551724;8,885;4,341113106;0,072727273;0,836363636;0,061818182;0,003636364;0,007272727
181517;0,028409091;0,931818182;1976,425656;0,026699029;0,310679612;0,058394161;0,02184466;9,26;4,539358601;0,022727273;0,823863636;0,130681818;0,005681818;0,005681818
181602;0,027173913;0,885869565;1972,358621;0,034734918;0,193784278;0,126530612;0,056672761;6,52;4,517482517;0,14673913;0,733695652;0,092391304;0,016304348;0
181606;0,010273973;0,965753425;1982,102881;0,035539216;0,25;0,214521452;0,030637255;5,48;4,458677686;0,058219178;0,883561644;0,047945205;0;0
181607;0;0,961206897;1952,98545;0,020092736;0,302936631;0,030888031;0,030911901;10,78;4,587301587;0,021551724;0,935344828;0,038793103;0;0
181608;0,00729927;0,912408759;1980,736559;0,025796662;0,305007587;0,092485549;0,02276176;4,74;4,356989247;0,065693431;0,791970803;0,102189781;0,018248175;0,003649635
181609;0,013377926;0,962962963;1978,230858;0,028314028;0,27027027;0,130136986;0,036036036;5,35;4,477434679;0,093645485;0,769230769;0,056856187;0,02006689;0,003344482
181612;0;0,884353741;1989,875;0,033333333;0,287179487;0,09929078;0,033333333;2,04;4,044247788;0,102040816;0,741496599;0,095238095;0,020408163;0
181615;0,018567639;0,941644562;1976,299265;0,033966034;0,293706294;0,076719577;0,038961039;6,1;4,366111952;0,090185676;0,790450928;0,061007958;0,00795756;0
181616;0,016494845;0,94214876;1971,024492;0,020183486;0,40733945;0,151315789;0,021100917;7,84;4,351012536;0,070103093;0,81443299;0,041237113;0,018556701;0
181617;0,015873016;0,904761905;1969,368631;0,022360248;0,300621118;0,111913357;0,049689441;8,89;4,442675159;0,041269841;0,898412698;0,047619048;0,003174603;0
181619;0,032738095;0,913690476;1973,872531;0,03014553;0,265072765;0,110795455;0,023908524;8,63;4,336466165;0,089285714;0,75297619;0,071428571;0,020833333;0
181620;0,015;0,936241611;1968,554905;0,039253539;0,272200772;0,104761905;0,037323037;4,56;4,10296846;0,113333333;0,771666667;0,061666667;0,013333333;0
181621;0,035460993;0,872113677;1972,697983;0,043882979;0,24268617;0,080123267;0,041223404;7,93;4,130718954;0,15070922;0,725177305;0,060283688;0,028368794;0
181622;0;0,975757576;1959,515748;0,013477089;0,520215633;0,023809524;0,010781671;7,395;4,647637795;0,03030303;0,909090909;0,018181818;0,018181818;0
181623;0,041148325;0,752873563;1975,173493;0,040851955;0,21002095;0,114735658;0,092353352;10,73666667;4,502030869;0,279904306;0,501913876;0,10861244;0,057894737;0,002392344
181702;0,013793103;0,95862069;1978,053506;0,030245747;0,417769376;0,12345679;0,030245747;3,45;4,634686347;0,068965517;0,84137931;0,075862069;0,006896552;0
181704;0,020242915;0,959349593;1977,056232;0,025162338;0,301136364;0,139908257;0,036525974;4,35;4,757134537;0,031376518;0,815789474;0,097165992;0,005060729;0,001012146
181706;0,021428571;0,938271605;1971,223702;0,04601479;0,204601479;0,087234043;0,059161873;11,67;4,635488308;0,061904762;0,795238095;0,10952381;0,004761905;0
181707;0,031662269;0,931398417;1981,678191;0,024416136;0,363057325;0,081560284;0,041401274;4,22;3,906555091;0,063324538;0,802110818;0,105540897;0,023746702;0
181709;0,013274336;0,935840708;1977,193376;0,035232384;0,195652174;0,171232877;0,035982009;6,86;4,60385439;0,039823009;0,869469027;0,053097345;0,004424779;0,004424779
181710;0,038211968;0,82408075;1982,367695;0,057149988;0,150985775;0,109301104;0,099575742;4,25;4,794871795;0,126171593;0,684931507;0,138428262;0,028839221;0,001441961
181711;0,038251366;0,967032967;1985,504662;0,015384615;0,323076923;0,128571429;0,032967033;5,46;3,900943396;0,049180328;0,846994536;0,087431694;0,005464481;0
181713;0,009433962;0,990566038;1974,445122;0,025316456;0,333333333;0,151898734;0,037974684;4,4;4,575510204;0,066037736;0,849056604;0,08490566;0;0
181714;0,01417004;0,949392713;1978,031378;0,018268467;0,332009531;0,1325;0,034154091;3,643333333;4,543823326;0,044534413;0,870445344;0,08097166;0,002024291;0
181801;0,024096386;0,939759036;1954,573059;0,027272727;0,304545455;0,111111111;0,022727273;10,84;4,83490566;0,048192771;0,831325301;0,108433735;0;0
181802;0,056818182;0,977272727;1976,184755;0,027989822;0,371501272;0,20952381;0,020356234;4,55;4,056497175;0,022727273;0,886363636;0,073863636;0;0
181803;0,009345794;0,981308411;1983,635556;0,027559055;0,25984252;0,180327869;0,003937008;6,54;4,386666667;0;0,831775701;0,158878505;0;0
181804;0,008695652;0,955357143;1974,774074;0,029032258;0,251612903;0,069565217;0,025806452;5,22;4,769811321;0,026086957;0,87826087;0,069565217;0,026086957;0
